index,relative_path,filename,type,size_bytes,size_mb,scraped_at
33,data\scraped\arxiv_event_camera\api_metadata.xml,api_metadata.xml,xml,3045,0.003,2026-07-10T11:08:09.608135+00:00
34,data\scraped\arxiv_event_camera\parsed_meta.json,parsed_meta.json,json,496,0.0005,2026-07-10T11:08:09.608135+00:00
35,data\scraped\arxiv_loihi_fusion\api_metadata.xml,api_metadata.xml,xml,2628,0.0026,2026-07-10T11:08:09.608135+00:00
36,data\scraped\arxiv_loihi_fusion\parsed_meta.json,parsed_meta.json,json,496,0.0005,2026-07-10T11:08:09.608135+00:00
37,data\scraped\arxiv_weather_robustness\api_metadata.xml,api_metadata.xml,xml,3116,0.0031,2026-07-10T11:08:09.608135+00:00
38,data\scraped\arxiv_weather_robustness\parsed_meta.json,parsed_meta.json,json,496,0.0005,2026-07-10T11:08:09.608135+00:00
39,data\raw\rellis3d\repo_metadata.json,repo_metadata.json,json,7222,0.0072,2026-07-10T11:08:09.608135+00:00
40,data\raw\rellis3d\README.md,README.md,md,18720,0.0187,2026-07-10T11:08:09.608135+00:00
41,data\raw\rellis3d\config.py,config.py,py,2946,0.0029,2026-07-10T11:08:09.608135+00:00
42,data\raw\rellis3d\__init__.py,__init__.py,py,5858,0.0059,2026-07-10T11:08:09.608135+00:00
43,data\raw\rellis3d\cityscapes.py,cityscapes.py,py,9757,0.0098,2026-07-10T11:08:09.608135+00:00
44,data\raw\rellis3d\cityscapes_labels.py,cityscapes_labels.py,py,12955,0.013,2026-07-10T11:08:09.608135+00:00
45,data\raw\rellis3d\edge_utils.py,edge_utils.py,py,2082,0.0021,2026-07-10T11:08:09.608135+00:00
46,data\raw\rellis3d\rellis.py,rellis.py,py,7828,0.0078,2026-07-10T11:08:09.608135+00:00
47,data\raw\rellis3d\loss.py,loss.py,py,6380,0.0064,2026-07-10T11:08:09.608135+00:00
48,data\raw\rellis3d\DualTaskLoss.py,DualTaskLoss.py,py,4789,0.0048,2026-07-10T11:08:09.608135+00:00
49,data\raw\rellis3d\GatedSpatialConv.py,GatedSpatialConv.py,py,6289,0.0063,2026-07-10T11:08:09.608135+00:00
50,data\raw\rellis3d\custom_functional.py,custom_functional.py,py,5446,0.0054,2026-07-10T11:08:09.608135+00:00
51,data\raw\rellis3d\Resnet.py,Resnet.py,py,8714,0.0087,2026-07-10T11:08:09.608135+00:00
52,data\raw\rellis3d\SEresnext.py,SEresnext.py,py,14906,0.0149,2026-07-10T11:08:09.608135+00:00
53,data\raw\rellis3d\gscnn.py,gscnn.py,py,11956,0.012,2026-07-10T11:08:09.608135+00:00
54,data\raw\rellis3d\mynn.py,mynn.py,py,1089,0.0011,2026-07-10T11:08:09.608135+00:00
55,data\raw\rellis3d\wider_resnet.py,wider_resnet.py,py,14165,0.0142,2026-07-10T11:08:09.608135+00:00
56,data\raw\rellis3d\optimizer.py,optimizer.py,py,2720,0.0027,2026-07-10T11:08:09.608135+00:00
57,data\raw\rellis3d\train.py,train.py,py,19465,0.0195,2026-07-10T11:08:09.608135+00:00
58,data\raw\rellis3d\joint_transforms.py,joint_transforms.py,py,22787,0.0228,2026-07-10T11:08:09.608135+00:00
59,data\raw\rellis3d\transforms.py,transforms.py,py,12085,0.0121,2026-07-10T11:08:09.608135+00:00
60,data\raw\rellis3d\AttrDict.py,AttrDict.py,py,2635,0.0026,2026-07-10T11:08:09.608135+00:00
61,data\raw\rellis3d\f_boundary.py,f_boundary.py,py,7242,0.0072,2026-07-10T11:08:09.608135+00:00
62,data\raw\rellis3d\image_page.py,image_page.py,py,2563,0.0026,2026-07-10T11:08:09.608135+00:00
63,data\raw\rellis3d\misc.py,misc.py,py,13199,0.0132,2026-07-10T11:08:09.608135+00:00
64,data\raw\rellis3d\hubconf.py,hubconf.py,py,861,0.0009,2026-07-10T11:08:09.608135+00:00
65,data\raw\rellis3d\default.py,default.py,py,3064,0.0031,2026-07-10T11:08:09.608135+00:00
66,data\raw\rellis3d\hrnet_config.py,hrnet_config.py,py,3668,0.0037,2026-07-10T11:08:09.608135+00:00
67,data\raw\rellis3d\models.py,models.py,py,1672,0.0017,2026-07-10T11:08:09.608135+00:00
68,data\raw\rellis3d\criterion.py,criterion.py,py,3527,0.0035,2026-07-10T11:08:09.608135+00:00
69,data\raw\rellis3d\function.py,function.py,py,11379,0.0114,2026-07-10T11:08:09.608135+00:00
70,data\raw\rellis3d\ade20k.py,ade20k.py,py,3601,0.0036,2026-07-10T11:08:09.608135+00:00
71,data\raw\rellis3d\base_dataset.py,base_dataset.py,py,10806,0.0108,2026-07-10T11:08:09.608135+00:00
72,data\raw\rellis3d\cocostuff.py,cocostuff.py,py,4912,0.0049,2026-07-10T11:08:09.608135+00:00
73,data\raw\rellis3d\lip.py,lip.py,py,5789,0.0058,2026-07-10T11:08:09.608135+00:00
74,data\raw\rellis3d\pascal_ctx.py,pascal_ctx.py,py,5021,0.005,2026-07-10T11:08:09.608135+00:00
75,data\raw\rellis3d\bn_helper.py,bn_helper.py,py,349,0.0003,2026-07-10T11:08:09.608135+00:00
76,data\raw\rellis3d\hrnet.py,hrnet.py,py,21632,0.0216,2026-07-10T11:08:09.608135+00:00
77,data\raw\rellis3d\seg_hrnet.py,seg_hrnet.py,py,18879,0.0189,2026-07-10T11:08:09.608135+00:00
78,data\raw\rellis3d\seg_hrnet_ocr.py,seg_hrnet_ocr.py,py,26818,0.0268,2026-07-10T11:08:09.608135+00:00
79,data\raw\rellis3d\bn.py,bn.py,py,6947,0.0069,2026-07-10T11:08:09.608135+00:00
80,data\raw\rellis3d\functions.py,functions.py,py,8605,0.0086,2026-07-10T11:08:09.608135+00:00
